Material Code,Material Description,Plant,UOM,Line Number,Component Item Number,Material Description2,Material type,Component Quantity,Unit of Measure
50083095,CR-28MM TRIGARD II TS UNI PLN,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0003,PC
50083095,CR-28MM TRIGARD II TS UNI PLN,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.000333,PC
50083095,CR-28MM TRIGARD II TS UNI PLN,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50083096,CR-33MM TRIGARD II TS UNI PLN,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50083096,CR-33MM TRIGARD II TS UNI PLN,        BAIN,PC,2,50082178,33MM OUTER CAPS WHITE,SFG,1,PC
50083096,CR-33MM TRIGARD II TS UNI PLN,        BAIN,PC,3,50083093,"TRIGARD II TS UNI 5.06""",Liner,0.01,YD
50083096,CR-33MM TRIGARD II TS UNI PLN,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50083096,CR-33MM TRIGARD II TS UNI PLN,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50083096,CR-33MM TRIGARD II TS UNI PLN,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
50083097,CR-38MM - 035 WLPM FSM-4 PLAIN,        BAIN,PC,1,50082144,38MM INNER CAPS NATURAL,SFG,1,PC
50083097,CR-38MM - 035 WLPM FSM-4 PLAIN,        BAIN,PC,2,50082177,38MM OUTER CAPS WHITE,SFG,1,PC
50083097,CR-38MM - 035 WLPM FSM-4 PLAIN,        BAIN,PC,3,50083091,"0.035 WLPM FSM-4 PLAIN 5.75""",Liner,0.0111,YD
50083097,CR-38MM - 035 WLPM FSM-4 PLAIN,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50083097,CR-38MM - 035 WLPM FSM-4 PLAIN,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0005,PC
50083097,CR-38MM - 035 WLPM FSM-4 PLAIN,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0005,PC
50083105,B-10ML RSP O. GREEN 415143-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,3.492,GM
50083105,B-10ML RSP O. GREEN 415143-NS,        BAIN,PC,2,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.006,PC
50083105,B-10ML RSP O. GREEN 415143-NS,        BAIN,PC,3,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.0005,PC
50083107,B-10ML RSP O. GREEN 415143-GS,        BAIN,PC,1,50083105,B-10ML RSP O. GREEN 415143-NS,SFG,1,PC
50083108,B-10ML RSP O. GREEN 415143-ET,        BAIN,PC,1,50083105,B-10ML RSP O. GREEN 415143-NS,SFG,1,PC
50083109,N-OPEN RSP O.GREEN 415143-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,0.4559,GM
50083109,N-OPEN RSP O.GREEN 415143-NS,        BAIN,PC,2,50081711,"12""X 16""  NATURAL 81.25mu",Polybag,0.001,PC
50083109,N-OPEN RSP O.GREEN 415143-NS,        BAIN,PC,3,50081575,CB:392X285X285 MM HF PP,Carton box,0.000083,PC
50083109,N-OPEN RSP O.GREEN 415143-NS,        BAIN,PC,4,50081745,MB: MEVO.GREEN PE6M415143-ZN,Master batch,0.0141,GM
50083110,N-OPEN RSP O.GREEN 415143-GS,        BAIN,PC,1,50083109,N-OPEN RSP O.GREEN 415143-NS,SFG,1,PC
50083111,N-OPEN RSP O.GREEN 415143-ET,        BAIN,PC,1,50083109,N-OPEN RSP O.GREEN 415143-NS,SFG,1,PC
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,1,50082200,HDPE: RELENE E52009,Raw material,1.821,GM
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,1,50082200,HDPE: RELENE E52009,Raw material,1.821,GM
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,2,50081420,MB: MELCOMAITRE WHT08636 1840H,Master batch,0.0759,GM
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,2,50081420,MB: MELCOMAITRE WHT08636 1840H,Master batch,0.0759,GM
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,3,50081708,"22""X25"" GUSS. NAT 81.25mu",Polybag,0.0007,PC
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,3,50081708,"22""X25"" GUSS. NAT 81.25mu",Polybag,0.0007,PC
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,4,50108241,CB:585X337X425MM HF 13BS 5P PP,Carton box,0.000167,PC
50083166,C-TAMPSAFE NBSR WHITE (REL)-NS,        BAIN,PC,4,50081574,CB:580X332X420 MM FF PP,Carton box,0.000167,PC
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,3.577,GM
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,3.577,GM
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,2,50083251,MB: POLYONE 1787C RED 240740,Master batch,0.073,GM
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,2,50083251,MB: POLYONE 1787C RED 240740,Master batch,0.073,GM
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.0005,PC
50083253,B-10ML RG RED240740 (L) NEW-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.0005,PC
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,3.577,GM
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,3.577,GM
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,2,50083252,MB: POLYONE 2995C BLUE 240737,Master batch,0.073,GM
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,2,50083252,MB: POLYONE 2995C BLUE 240737,Master batch,0.073,GM
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.0005,PC
50083254,B-10ML RG BLUE240737 (L)NEW-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.0005,PC
50083255,C-TAMPLOCK RED240740 (H)-NS,        BAIN,PC,1,50082199,HDPE: RELENE M60075,Raw material,1.5778,GM
50083255,C-TAMPLOCK RED240740 (H)-NS,        BAIN,PC,2,50083251,MB: POLYONE 1787C RED 240740,Master batch,0.0322,GM
50083255,C-TAMPLOCK RED240740 (H)-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.001,PC
50083255,C-TAMPLOCK RED240740 (H)-NS,        BAIN,PC,4,50081574,CB:580X332X420 MM FF PP,Carton box,0.000167,PC
50083256,C-TAMPLOCK BLUE240737 (H)-NS,        BAIN,PC,1,50082199,HDPE: RELENE M60075,Raw material,1.5778,GM
50083256,C-TAMPLOCK BLUE240737 (H)-NS,        BAIN,PC,2,50083252,MB: POLYONE 2995C BLUE 240737,Master batch,0.0322,GM
50083256,C-TAMPLOCK BLUE240737 (H)-NS,        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.001,PC
50083256,C-TAMPLOCK BLUE240737 (H)-NS,        BAIN,PC,4,50081574,CB:580X332X420 MM FF PP,Carton box,0.000167,PC
50083258,B-10ML RG RED240740 (L) NEW-GS,        BAIN,PC,1,50083253,B-10ML RG RED240740 (L) NEW-NS,SFG,1,PC
50083258,B-10ML RG RED240740 (L) NEW-GS,        BAIN,PC,1,50083253,B-10ML RG RED240740 (L) NEW-NS,SFG,1,PC
50083260,B-10ML RG BLUE240737 (L)NEW-GS,        BAIN,PC,1,50083254,B-10ML RG BLUE240737 (L)NEW-NS,SFG,1,PC
50083260,B-10ML RG BLUE240737 (L)NEW-GS,        BAIN,PC,1,50083254,B-10ML RG BLUE240737 (L)NEW-NS,SFG,1,PC
50083262,B-5ML RG NATURAL -12C (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,2.824,GM
50083262,B-5ML RG NATURAL -12C (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,2.824,GM
50083262,B-5ML RG NATURAL -12C (L)-NS,        BAIN,PC,2,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083262,B-5ML RG NATURAL -12C (L)-NS,        BAIN,PC,2,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083262,B-5ML RG NATURAL -12C (L)-NS,        BAIN,PC,3,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083262,B-5ML RG NATURAL -12C (L)-NS,        BAIN,PC,3,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083263,B-5ML RG NATURAL -12C (L)-GS,        BAIN,PC,1,50083262,B-5ML RG NATURAL -12C (L)-NS,SFG,1,PC
50083263,B-5ML RG NATURAL -12C (L)-GS,        BAIN,PC,1,50083262,B-5ML RG NATURAL -12C (L)-NS,SFG,1,PC
50083264,B-5ML RG NATURAL -12C (L)-ET,        BAIN,PC,1,50083262,B-5ML RG NATURAL -12C (L)-NS,SFG,1,PC
50083264,B-5ML RG NATURAL -12C (L)-ET,        BAIN,PC,1,50083262,B-5ML RG NATURAL -12C (L)-NS,SFG,1,PC
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,2.842,GM
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,2.842,GM
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.058,GM
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.058,GM
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,4,50108241,CB:585X337X425MM HF 13BS 5P PP,Carton box,0.000333,PC
50083265,B-5ML RG WHITE -12C (L)-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083266,B-5ML RG WHITE -12C (L)-GS,        BAIN,PC,1,50083265,B-5ML RG WHITE -12C (L)-NS,SFG,1,PC
50083266,B-5ML RG WHITE -12C (L)-GS,        BAIN,PC,1,50083265,B-5ML RG WHITE -12C (L)-NS,SFG,1,PC
50083267,B-5ML RG WHITE -12C (L)-ET,        BAIN,PC,1,50083265,B-5ML RG WHITE -12C (L)-NS,SFG,1,PC
50083267,B-5ML RG WHITE -12C (L)-ET,        BAIN,PC,1,50083265,B-5ML RG WHITE -12C (L)-NS,SFG,1,PC
50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.99,GM
50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.99,GM
50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,        BAIN,PC,2,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.006,PC
50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,        BAIN,PC,2,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.006,PC
50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,        BAIN,PC,3,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,        BAIN,PC,3,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.832,GM
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.832,GM
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,2,50081420,MB: MELCOMAITRE WHT08636 1840H,Master batch,0.118,GM
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,2,50081420,MB: MELCOMAITRE WHT08636 1840H,Master batch,0.118,GM
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.006,PC
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.006,PC
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,4,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50083269,B-5ML RSP WHITE R2 NEW (L)-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083278,38MM INNER CAPS NAT(REL H200),        BAIN,PC,1,50083277,PPHP: REPOL H200MA,Raw material,3.379,GM
50083278,38MM INNER CAPS NAT(REL H200),        BAIN,PC,2,50081838,"38""X34"" GUSS. NATURAL 50mu",Polybag,0.0003,PC
50083279,38MM OUTER CAPS WHT (REL H200),        BAIN,PC,1,50083277,PPHP: REPOL H200MA,Raw material,3.93,GM
50083279,38MM OUTER CAPS WHT (REL H200),        BAIN,PC,2,50082217,MB ZP093277NMB WHITE,Master batch,0.1216,GM
50083279,38MM OUTER CAPS WHT (REL H200),        BAIN,PC,3,50081838,"38""X34"" GUSS. NATURAL 50mu",Polybag,0.0005,PC
50083280,CR-28MM BLUE HS205 035 PULP PL,        BAIN,PC,1,50082180,28MM INNER CAPS NATURAL,SFG,1,PC
50083280,CR-28MM BLUE HS205 035 PULP PL,        BAIN,PC,2,50082363,28MM OUTER CAPS BLUE (2945C),SFG,1,PC
50083280,CR-28MM BLUE HS205 035 PULP PL,        BAIN,PC,3,50081396,"HS205/.035"" PULP PLAIN- 4.375""",Liner,0.0083,YD
50083280,CR-28MM BLUE HS205 035 PULP PL,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0003,PC
50083280,CR-28MM BLUE HS205 035 PULP PL,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.000333,PC
50083280,CR-28MM BLUE HS205 035 PULP PL,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.9331,GM
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.9331,GM
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,2,50082152,MB:REMAFIN GREEN 91151,Master batch,0.0599,GM
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,2,50082152,MB:REMAFIN GREEN 91151,Master batch,0.0599,GM
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,3,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083286,"B-5ML ""O"" O. GREEN (L)-NS",        BAIN,PC,4,50081573,CB:584X394X338 MM HF PP,Carton box,0.000333,PC
50083287,"B-5ML ""O"" O. GREEN (L)-GS",        BAIN,PC,1,50083286,"B-5ML ""O"" O. GREEN (L)-NS",SFG,1,PC
50083287,"B-5ML ""O"" O. GREEN (L)-GS",        BAIN,PC,1,50083286,"B-5ML ""O"" O. GREEN (L)-NS",SFG,1,PC
50083289,B-5ML RSP NATURAL R2 NEW(L)-GS,        BAIN,PC,1,50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,SFG,1,PC
50083289,B-5ML RSP NATURAL R2 NEW(L)-GS,        BAIN,PC,1,50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,SFG,1,PC
50083290,B-5ML RSP NATURAL R2 NEW(L)-ET,        BAIN,PC,1,50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,SFG,1,PC
50083290,B-5ML RSP NATURAL R2 NEW(L)-ET,        BAIN,PC,1,50083268,B-5ML RSP NATURAL R2 NEW(L)-NS,SFG,1,PC
50083291,B-5ML RSP WHITE R2 NEW (L)-GS,        BAIN,PC,1,50083269,B-5ML RSP WHITE R2 NEW (L)-NS,SFG,1,PC
50083291,B-5ML RSP WHITE R2 NEW (L)-GS,        BAIN,PC,1,50083269,B-5ML RSP WHITE R2 NEW (L)-NS,SFG,1,PC
50083292,B-5ML RSP WHITE R2 NEW (L)-ET,        BAIN,PC,1,50083269,B-5ML RSP WHITE R2 NEW (L)-NS,SFG,1,PC
50083292,B-5ML RSP WHITE R2 NEW (L)-ET,        BAIN,PC,1,50083269,B-5ML RSP WHITE R2 NEW (L)-NS,SFG,1,PC
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,1,50082202,HDPE: PURELL GC7260,Raw material,2.208,GM
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,1,50082202,HDPE: PURELL GC7260,Raw material,2.208,GM
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,2,50081420,MB: MELCOMAITRE WHT08636 1840H,Master batch,0.092,GM
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,2,50081420,MB: MELCOMAITRE WHT08636 1840H,Master batch,0.092,GM
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.003,PC
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.003,PC
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,4,50081575,CB:392X285X285 MM HF PP,Carton box,0.0005,PC
50083293,C-TAMPSAFE RSP WT R2 NEW-NS,        BAIN,PC,4,50081575,CB:392X285X285 MM HF PP,Carton box,0.0005,PC
50083294,C-TAMPSAFE RSP WT R2 NEW-GS,        BAIN,PC,1,50083293,C-TAMPSAFE RSP WT R2 NEW-NS,SFG,1,PC
50083294,C-TAMPSAFE RSP WT R2 NEW-GS,        BAIN,PC,1,50083293,C-TAMPSAFE RSP WT R2 NEW-NS,SFG,1,PC
50083295,C-TAMPSAFE RSP WT R2 NEW-ET,        BAIN,PC,1,50083293,C-TAMPSAFE RSP WT R2 NEW-NS,SFG,1,PC
50083295,C-TAMPSAFE RSP WT R2 NEW-ET,        BAIN,PC,1,50083293,C-TAMPSAFE RSP WT R2 NEW-NS,SFG,1,PC
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.842,GM
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,2.842,GM
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.058,GM
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,2,50082194,MB: REMAFIN WHITE P7,Master batch,0.058,GM
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,3,50081710,"18""X17"" GUSS. NAT 81.25mu",Polybag,0.004,PC
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083298,B-5ML RG WHITE-12C(L-1840H)-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000333,PC
50083299,B-5ML RG WHITE-12C(L-1840H)-GS,        BAIN,PC,1,50083298,B-5ML RG WHITE-12C(L-1840H)-NS,SFG,1,PC
50083299,B-5ML RG WHITE-12C(L-1840H)-GS,        BAIN,PC,1,50083298,B-5ML RG WHITE-12C(L-1840H)-NS,SFG,1,PC
50083300,B-5ML RG WHITE-12C(L-1840H)-ET,        BAIN,PC,1,50083298,B-5ML RG WHITE-12C(L-1840H)-NS,SFG,1,PC
50083300,B-5ML RG WHITE-12C(L-1840H)-ET,        BAIN,PC,1,50083298,B-5ML RG WHITE-12C(L-1840H)-NS,SFG,1,PC
50083313,B-15ML EX.RG NATURAL (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,4.6,GM
50083313,B-15ML EX.RG NATURAL (L)-NS,        BAIN,PC,1,50082184,LDPE: PURELL PE 1810 E,Raw material,4.6,GM
50083313,B-15ML EX.RG NATURAL (L)-NS,        BAIN,PC,4,50081452,CB:585X337X425MM HF 13BS 3P PP,Carton box,0.000667,PC
50083313,B-15ML EX.RG NATURAL (L)-NS,        BAIN,PC,4,50108241,CB:585X337X425MM HF 13BS 5P PP,Carton box,0.000667,PC
50083313,B-15ML EX.RG NATURAL (L)-NS,        BAIN,PC,5,50081709,"18""X20"" GUSS. NAT 81.25mu",Polybag,0.0027,PC
50083314,B-15ML EX.RG NATURAL (L)-GS,        BAIN,PC,1,50083313,B-15ML EX.RG NATURAL (L)-NS,SFG,1,PC
50083314,B-15ML EX.RG NATURAL (L)-GS,        BAIN,PC,1,50083313,B-15ML EX.RG NATURAL (L)-NS,SFG,1,PC
50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,0.475,GM
50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,0.475,GM
50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0012,PC
50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0012,PC
50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",        BAIN,PC,3,50108242,CB:585X337X300MM HF 13BS 5P PP,Carton box,0.00004,PC
50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",        BAIN,PC,3,50081574,CB:580X332X420 MM FF PP,Carton box,0.00004,PC
50083322,"N-OPEN ""I"" NATURAL NEW (L)-GS",        BAIN,PC,1,50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",SFG,1,PC
50083322,"N-OPEN ""I"" NATURAL NEW (L)-GS",        BAIN,PC,1,50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",SFG,1,PC
50083323,"N-OPEN ""I"" NATURAL NEW (L)-ET",        BAIN,PC,1,50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",SFG,1,PC
50083323,"N-OPEN ""I"" NATURAL NEW (L)-ET",        BAIN,PC,1,50083321,"N-OPEN ""I"" NATURAL NEW (L)-NS",SFG,1,PC
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,0.4655,GM
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,1,50082183,LDPE: PURELL PE 1840 H,Raw material,0.4655,GM
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0012,PC
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,2,50081657,"12""X16"" GUSS. PINK 81.25mu",Polybag,0.0012,PC
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,3,50082194,MB: REMAFIN WHITE P7,Master batch,0.0095,GM
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,3,50082194,MB: REMAFIN WHITE P7,Master batch,0.0095,GM
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,4,50108242,CB:585X337X300MM HF 13BS 5P PP,Carton box,0.00004,PC
50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",        BAIN,PC,4,50081574,CB:580X332X420 MM FF PP,Carton box,0.00004,PC
50083325,"N-OPEN ""I"" WHITE NEW (L)-GS",        BAIN,PC,1,50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",SFG,1,PC
50083325,"N-OPEN ""I"" WHITE NEW (L)-GS",        BAIN,PC,1,50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",SFG,1,PC
50083326,"N-OPEN ""I"" WHITE NEW (L)-ET",        BAIN,PC,1,50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",SFG,1,PC
50083326,"N-OPEN ""I"" WHITE NEW (L)-ET",        BAIN,PC,1,50083324,"N-OPEN ""I"" WHITE NEW (L)-NS",SFG,1,PC
50083335,CR-33MM BLUE2945C HS130/020WHT,        BAIN,PC,1,50082145,33MM INNER CAPS NATURAL,SFG,1,PC
50083335,CR-33MM BLUE2945C HS130/020WHT,        BAIN,PC,2,50081997,33MM OUTER CAPS BLUE (2945C),SFG,1,PC
50083335,CR-33MM BLUE2945C HS130/020WHT,        BAIN,PC,3,50083327,"HS130 0.020"" WLP WHITE 5.75""",Liner,0.01,YD
50083335,CR-33MM BLUE2945C HS130/020WHT,        BAIN,PC,4,50081707,"38""X34"" GUSS. NAT 81.25mu",Polybag,0.0005,PC
50083335,CR-33MM BLUE2945C HS130/020WHT,        BAIN,PC,5,50081451,CB:585X337X425MM HF 17BS 3P PP,Carton box,0.0004,PC
50083335,CR-33MM BLUE2945C HS130/020WHT,        BAIN,PC,6,50081573,CB:584X394X338 MM HF PP,Carton box,0.0004,PC
